 Total new objects: 3207143

count   	exec(ms)
--------	--------	------------------------------
.........1	.........0		jalview.jbgui.GAlignFrame$22
.........1	.........0		jalview.jbgui.GAlignFrame$21
.........1	.........0		jalview.jbgui.GAlignFrame$20
.........1	.........0		jalview.jbgui.GAlignFrame$2
.........1	.........0		jalview.jbgui.GAlignFrame$19
.........1	.........0		jalview.jbgui.GAlignFrame$18
.........1	.........0		jalview.jbgui.GAlignFrame$17
.........1	.........0		jalview.jbgui.GAlignFrame$16
.........1	.........0		jalview.jbgui.GAlignFrame$15
.........1	.........0		jalview.jbgui.GAlignFrame$14
.........1	.........0		jalview.jbgui.GAlignFrame$13
.........1	.........0		jalview.jbgui.GAlignFrame$121
.........1	.........0		jalview.jbgui.GAlignFrame$120
.........1	.........0		jalview.jbgui.GAlignFrame$12
.........1	.........0		jalview.jbgui.GAlignFrame$119
.........1	.........0		jalview.jbgui.GAlignFrame$118
.........1	.........0		jalview.jbgui.GAlignFrame$117
.........1	.........0		jalview.jbgui.GAlignFrame$116
.........1	.........0		jalview.jbgui.GAlignFrame$115
.........1	.........0		jalview.jbgui.GAlignFrame$114
.........1	.........0		jalview.jbgui.GAlignFrame$113
.........1	.........0		jalview.jbgui.GAlignFrame$112
.........1	.........0		jalview.jbgui.GAlignFrame$111
.........1	.........0		jalview.jbgui.GAlignFrame$110
.........1	.........0		jalview.jbgui.GAlignFrame$11
.........1	.........0		jalview.jbgui.GAlignFrame$109
.........1	.........0		jalview.jbgui.GAlignFrame$108
.........1	.........0		jalview.jbgui.GAlignFrame$107
.........1	.........0		jalview.jbgui.GAlignFrame$106
.........1	.........0		jalview.jbgui.GAlignFrame$105
.........1	.........0		jalview.jbgui.GAlignFrame$104
.........1	.........0		jalview.jbgui.GAlignFrame$103
.........1	.........0		jalview.jbgui.GAlignFrame$102
.........1	.........0		jalview.jbgui.GAlignFrame$101
.........1	.........0		jalview.jbgui.GAlignFrame$100
.........1	.........0		jalview.jbgui.GAlignFrame$10
.........1	.........0		jalview.io.SequenceAnnotationReport$1
.........1	.........0		jalview.io.FileFormat[]
.........1	.........0		jalview.io.FileFormat$9
.........1	.........0		jalview.io.FileFormat$8
.........1	.........0		jalview.io.FileFormat$7
.........1	.........0		jalview.io.FileFormat$6
.........1	.........0		jalview.io.FileFormat$5
.........1	.........0		jalview.io.FileFormat$4
.........1	.........0		jalview.io.FileFormat$3
.........1	.........0		jalview.io.FileFormat$2
.........1	.........0		jalview.io.FileFormat$19
.........1	.........0		jalview.io.FileFormat$18
.........1	.........0		jalview.io.FileFormat$17
.........1	.........0		jalview.io.FileFormat$16
.........1	.........0		jalview.io.FileFormat$15
.........1	.........0		jalview.io.FileFormat$14
.........1	.........0		jalview.io.FileFormat$13
.........1	.........0		jalview.io.FileFormat$12
.........1	.........0		jalview.io.FileFormat$11
.........1	.........0		jalview.io.FileFormat$10
.........1	.........0		jalview.io.FileFormat$1
.........1	.........0		jalview.gui.ViewSelectionMenu$1
.........1	.........0		jalview.gui.ProgressBar
.........1	.........0		jalview.gui.Desktop$13
.........1	.........0		jalview.gui.Desktop$12
.........1	.........0		jalview.gui.Desktop$11
.........1	.........0		jalview.gui.ColourMenuHelper$4
.........1	.........0		jalview.gui.ColourMenuHelper$1
.........1	.........0		jalview.gui.AnnotationPanel.DragMode[]
.........1	.........0		jalview.gui.AlignmentPanel$2
.........1	.........0		jalview.gui.AlignmentPanel$1
.........1	.........0		jalview.gui.AlignFrame$5
.........1	.........0		jalview.gui.AlignFrame$4
.........1	.........0		jalview.gui.AlignFrame$3
.........1	.........0		jalview.gui.AlignFrame$20
.........1	.........0		jalview.gui.AlignFrame$2
.........1	.........0		jalview.gui.AlignFrame$1
.........1	.........0		jalview.ext.ensembl.EnsemblSeqProxy.EnsemblSeqType[]
.........1	.........0		jalview.ext.ensembl.EnsemblGene$1$2
.........1	.........0		jalview.ext.ensembl.EnsemblGene$1$1
.........1	.........0		jalview.ext.ensembl.EnsemblGene$1
.........1	.........0		jalview.ext.ensembl.EnsemblFeatures
.........1	.........0		jalview.datamodel.features.SequenceFeatures$2
.........1	.........0		jalview.datamodel.features.SequenceFeatures$1
.........1	.........0		jalview.datamodel.features.FeatureAttributes.Datatype[]
.........1	.........0		jalview.datamodel.features.FeatureAttributes$1
.........1	.........0		jalview.datamodel.features.FeatureAttributes
.........1	.........0		jalview.datamodel.Profiles
.........1	.........0		jalview.analysis.CrossRef
.........1	.........0		jalview.analysis.CodonComparator
.........1	.........0		jalview.analysis.AnnotationSorter.SequenceAnnotationOrder[]
.........1	........-1		jalview.datamodel.ProfileI[]
...5993224	.....61225	
